Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
"2012-10-09 00:09:00",59.5,56.0,29.87,West,265,0.0,-999.0,88,-99.99,,,0.04,"weatherlink.com 1.10","2012-10-08 23:09:00"
"2012-10-09 00:24:00",59.5,56.0,29.87,West,265,0.0,-999.0,88,-99.99,,,0.04,"weatherlink.com 1.10","2012-10-08 23:24:00"
"2012-10-09 00:38:00",59.5,56.0,29.87,West,265,0.0,-999.0,88,-99.99,,,0.04,"weatherlink.com 1.10","2012-10-08 23:38:00"
"2012-10-09 00:55:00",59.5,56.0,29.86,West,265,0.0,-999.0,88,-99.99,,,0.04,"weatherlink.com 1.10","2012-10-08 23:55:00"
"2012-10-09 01:25:00",59.4,56.0,29.87,West,265,0.0,-999.0,88,-99.99,,,0.04,"weatherlink.com 1.10","2012-10-09 00:25:00"
"2012-10-09 01:41:00",59.2,56.0,29.86,West,265,0.0,-999.0,88,-99.99,,,0.04,"weatherlink.com 1.10","2012-10-09 00:41:00"
"2012-10-09 01:57:00",59.2,56.0,29.87,West,265,0.0,-999.0,88,-99.99,,,0.04,"weatherlink.com 1.10","2012-10-09 00:57:00"
"2012-10-09 02:11:00",59.2,56.0,29.87,West,265,0.0,-999.0,88,-99.99,,,0.04,"weatherlink.com 1.10","2012-10-09 01:11:00"
"2012-10-09 02:28:00",59.1,56.0,29.87,West,265,0.0,-999.0,88,-99.99,,,0.00,"weatherlink.com 1.10","2012-10-09 01:28:00"
"2012-10-09 02:57:00",58.9,55.0,29.86,West,265,0.0,-999.0,88,-99.99,,,0.00,"weatherlink.com 1.10","2012-10-09 01:57:00"
"2012-10-09 03:43:00",58.7,55.0,29.86,West,265,2.0,-999.0,88,-99.99,,,0.01,"weatherlink.com 1.10","2012-10-09 02:43:00"
"2012-10-09 03:59:00",58.5,55.0,29.86,West,265,0.0,-999.0,88,-99.99,,,0.02,"weatherlink.com 1.10","2012-10-09 02:59:00"
"2012-10-09 04:15:00",58.4,55.0,29.86,West,265,2.0,-999.0,88,-99.99,,,0.02,"weatherlink.com 1.10","2012-10-09 03:15:00"
"2012-10-09 04:28:00",58.2,55.0,29.86,West,265,0.0,-999.0,88,-99.99,,,0.02,"weatherlink.com 1.10","2012-10-09 03:28:00"
"2012-10-09 04:43:00",58.2,55.0,29.86,West,265,0.0,-999.0,88,-99.99,,,0.03,"weatherlink.com 1.10","2012-10-09 03:43:00"
"2012-10-09 04:58:00",58.3,55.0,29.85,West,265,0.0,-999.0,88,-99.99,,,0.03,"weatherlink.com 1.10","2012-10-09 03:58:00"
"2012-10-09 05:16:00",58.3,55.0,29.86,West,265,0.0,-999.0,88,-99.99,,,0.04,"weatherlink.com 1.10","2012-10-09 04:16:00"
"2012-10-09 06:15:00",58.0,55.0,29.86,SW,231,4.0,-999.0,88,-99.99,,,0.10,"weatherlink.com 1.10","2012-10-09 05:15:00"
"2012-10-09 06:33:00",57.9,54.0,29.86,SSE,158,3.0,-999.0,88,-99.99,,,0.11,"weatherlink.com 1.10","2012-10-09 05:33:00"
"2012-10-09 06:46:00",57.7,54.0,29.86,ESE,121,6.0,-999.0,88,-99.99,,,0.13,"weatherlink.com 1.10","2012-10-09 05:46:00"
"2012-10-09 07:02:00",57.6,54.0,29.86,ESE,121,11.0,-999.0,89,-99.99,,,0.13,"weatherlink.com 1.10","2012-10-09 06:02:00"
"2012-10-09 07:17:00",57.5,54.0,29.86,ESE,123,5.0,-999.0,89,-99.99,,,0.13,"weatherlink.com 1.10","2012-10-09 06:17:00"
"2012-10-09 08:03:00",57.2,54.0,29.87,ESE,114,5.0,-999.0,89,-99.99,,,0.15,"weatherlink.com 1.10","2012-10-09 07:03:00"
"2012-10-09 08:18:00",57.1,54.0,29.87,ESE,123,5.0,-999.0,89,-99.99,,,0.15,"weatherlink.com 1.10","2012-10-09 07:18:00"
"2012-10-09 08:33:00",57.0,54.0,29.87,ESE,122,4.0,-999.0,89,-99.99,,,0.16,"weatherlink.com 1.10","2012-10-09 07:33:00"
"2012-10-09 09:06:00",57.1,54.0,29.88,ESE,120,5.0,-999.0,89,-99.99,,,0.16,"weatherlink.com 1.10","2012-10-09 08:06:00"
"2012-10-09 09:20:00",57.2,54.0,29.88,ESE,115,3.0,-999.0,89,-99.99,,,0.16,"weatherlink.com 1.10","2012-10-09 08:20:00"
"2012-10-09 09:36:00",57.1,54.0,29.88,ESE,114,8.0,-999.0,89,-99.99,,,0.16,"weatherlink.com 1.10","2012-10-09 08:36:00"
"2012-10-09 09:52:00",57.2,54.0,29.89,ESE,109,2.0,-999.0,89,-99.99,,,0.17,"weatherlink.com 1.10","2012-10-09 08:52:00"
"2012-10-09 10:06:00",57.1,54.0,29.89,ESE,123,10.0,-999.0,89,-99.99,,,0.17,"weatherlink.com 1.10","2012-10-09 09:06:00"
"2012-10-09 10:21:00",57.1,54.0,29.89,ESE,116,7.0,-999.0,89,-99.99,,,0.17,"weatherlink.com 1.10","2012-10-09 09:21:00"
"2012-10-09 10:36:00",57.0,54.0,29.89,ESE,109,4.0,-999.0,89,-99.99,,,0.17,"weatherlink.com 1.10","2012-10-09 09:36:00"
"2012-10-09 10:51:00",56.9,54.0,29.89,East,101,3.0,-999.0,89,-99.99,,,0.18,"weatherlink.com 1.10","2012-10-09 09:51:00"
"2012-10-09 11:22:00",56.8,54.0,29.89,ESE,113,6.0,-999.0,89,-99.99,,,0.18,"weatherlink.com 1.10","2012-10-09 10:22:00"
"2012-10-09 11:37:00",57.0,54.0,29.89,ESE,104,7.0,-999.0,89,-99.99,,,0.18,"weatherlink.com 1.10","2012-10-09 10:37:00"
"2012-10-09 12:07:00",57.3,54.0,29.89,ESE,112,4.0,-999.0,89,-99.99,,,0.20,"weatherlink.com 1.10","2012-10-09 11:07:00"
"2012-10-09 12:24:00",57.3,54.0,29.89,ESE,109,4.0,-999.0,89,-99.99,,,0.20,"weatherlink.com 1.10","2012-10-09 11:24:00"
"2012-10-09 12:39:00",57.4,54.0,29.89,ESE,115,9.0,-999.0,89,-99.99,,,0.20,"weatherlink.com 1.10","2012-10-09 11:39:00"
"2012-10-09 12:53:00",57.4,54.0,29.88,East,90,3.0,-999.0,89,-99.99,,,0.20,"weatherlink.com 1.10","2012-10-09 11:53:00"
"2012-10-09 13:08:00",57.4,54.0,29.88,ESE,109,5.0,-999.0,89,-99.99,,,0.20,"weatherlink.com 1.10","2012-10-09 12:08:00"
"2012-10-09 13:24:00",57.5,54.0,29.87,East,98,3.0,-999.0,89,-99.99,,,0.20,"weatherlink.com 1.10","2012-10-09 12:24:00"
"2012-10-09 13:39:00",57.6,54.0,29.88,East,97,7.0,-999.0,89,-99.99,,,0.20,"weatherlink.com 1.10","2012-10-09 12:39:00"
"2012-10-09 14:42:00",57.7,55.0,29.87,East,98,5.0,-999.0,89,-99.99,,,0.20,"weatherlink.com 1.10","2012-10-09 13:42:00"
"2012-10-09 14:56:00",57.6,54.0,29.88,East,101,3.0,-999.0,89,-99.99,,,0.20,"weatherlink.com 1.10","2012-10-09 13:56:00"
"2012-10-09 15:11:00",57.7,55.0,29.88,East,101,0.0,-999.0,89,-99.99,,,0.20,"weatherlink.com 1.10","2012-10-09 14:11:00"
"2012-10-09 15:43:00",57.7,55.0,29.87,ESE,113,6.0,-999.0,89,-99.99,,,0.20,"weatherlink.com 1.10","2012-10-09 14:43:00"
"2012-10-09 15:58:00",57.6,54.0,29.88,ESE,119,3.0,-999.0,89,-99.99,,,0.20,"weatherlink.com 1.10","2012-10-09 14:58:00"
"2012-10-09 16:27:00",57.3,54.0,29.88,ESE,111,4.0,-999.0,89,-99.99,,,0.20,"weatherlink.com 1.10","2012-10-09 15:27:00"
"2012-10-09 16:42:00",57.2,54.0,29.88,ESE,115,6.0,-999.0,89,-99.99,,,0.20,"weatherlink.com 1.10","2012-10-09 15:42:00"
"2012-10-09 16:59:00",57.0,54.0,29.88,ESE,115,3.0,-999.0,89,-99.99,,,0.20,"weatherlink.com 1.10","2012-10-09 15:59:00"
"2012-10-09 17:16:00",56.9,54.0,29.88,ESE,114,2.0,-999.0,89,-99.99,,,0.20,"weatherlink.com 1.10","2012-10-09 16:16:00"
"2012-10-09 18:16:00",56.9,54.0,29.88,SE,127,2.0,-999.0,89,-99.99,,,0.21,"weatherlink.com 1.10","2012-10-09 17:16:00"
"2012-10-09 18:32:00",56.9,54.0,29.88,SE,127,2.0,-999.0,89,-99.99,,,0.21,"weatherlink.com 1.10","2012-10-09 17:32:00"
"2012-10-09 19:34:00",56.1,53.0,29.90,East,86,0.0,-999.0,89,-99.99,,,0.24,"weatherlink.com 1.10","2012-10-09 18:34:00"
"2012-10-09 19:51:00",56.1,53.0,29.90,East,87,0.0,-999.0,89,-99.99,,,0.24,"weatherlink.com 1.10","2012-10-09 18:51:00"
"2012-10-09 20:05:00",56.0,53.0,29.90,East,87,1.0,-999.0,89,-99.99,,,0.24,"weatherlink.com 1.10","2012-10-09 19:05:00"
"2012-10-09 20:20:00",55.9,53.0,29.90,East,87,0.0,-999.0,89,-99.99,,,0.24,"weatherlink.com 1.10","2012-10-09 19:20:00"
