 STATE$       REGION$      REGION       DIVISION$    DIVISION     LANDAREA     ACCIDENT     CARDIO       CANCER       PULMONAR     PNEU_FLU     DIABETES     LIVER        VIOLRATE     PROPRATE     AVGPAY       TEACHERS     TCHRSAL      MARRIAGE     DIVORCE      HOSPITAL     DOCTOR       MSTROKE      FSTROKE      GOVSLRY      INCOME89     POP90        TOTALSLE     LABLAT       LABLON       RAIN         HIGHTEMP     LOWTEMP      WINE86       NUM          POVRTY90     POVRTY91     INCOME       GOV_92$      GOV_93$      PRES_88$     ELECVOTE     PRES_92$     CLINTON      BUSH         PEROT        TORNADOS     SUMMER       WINTER       POPDEN       VERBAL       MATH         MAPNUM       MAXLAT       MAXLON       MINLAT       MINLON       VOTE_88      VOTE_92     
 "ME          " "Northeast   "            1 "New England "            1        33265         39.5        330.4        226.6         46.1         29.5         22.9         10.5          137         3446        19202 11.563517915         26.9         10.2          4.7 3.7459283388          173         28.8         22.2           70        27854         1228 8227.1986971       45.267      -69.043           43          105          -48         2.71            1         13.1         14.1        27868 "R           " "R           " "R           "            4 "D           "        261.9        207.1        205.1            2           69           22           32          422          463            1       47.471       -67.01       43.064      -71.076           61           72
 "NH          " "Northeast   "            1 "New England "            1         9279         27.6        278.3        195.2         33.5         28.2         16.4         11.1          168         3428        21551  9.558160505           29         10.2          4.7 3.8773669973          186         28.1         24.5       72.146        36329         1109 10377.817854         43.6      -71.644           39          106          -46            5            2          6.3          7.3        36032 "R           " "D           " "R           "            4 "D           "        207.3        199.6        120.2            7           70           22           80          442          487            2       45.313      -70.733       42.697      -72.555           55           63
 "VT          " "Northeast   "            1 "New England "            1         9614         41.8        289.4        183.3         45.2         33.4         16.7           11          133         3956        19497  12.43339254         28.8         10.6          4.4 3.3747779751          244         26.5         24.1        80.73        29792          563 8399.6447602         44.2      -72.478           33          105          -50         4.12            3         10.9         12.6        29155 "D           " "D           " "R           "            3 "D           "        182.9         85.5         61.5            3           69           16           47          426          467            3       45.021      -71.504       42.731      -73.453           58           68
 "MA          " "Northeast   "            1 "New England "            1         8284         29.7        343.9        223.4         34.4           43         15.7         12.4          675         4461        25233 9.8071808511         34.2            9          2.6 2.8091755319          322           27         23.7           75        36952         6016 8495.0132979         42.4        -71.8           43          107          -34         4.25            4         10.7           11        35714 "R           " "R           " "D           "           12 "D           "         1315        804.5        630.4           15           74           30          719          427          476            4       42.882      -69.944       41.242      -73.507           58           60
 "RI          " "Northeast   "            1 "New England "            1         1212         29.7        353.6          242         34.3         26.1         28.6         13.1          378         4847        21128  9.371884347         36.1          8.3          3.6 1.9940179462          244         27.6         22.1           69        32181         1003 7360.9172483       41.668      -71.484           40          104          -23         4.37            5          7.5         10.4        30836 "D           " "D           " "D           "            4 "D           "        198.9        121.9         94.8            7           70           32          879          419          464            5       42.029       -71.11       41.306      -71.859           53           54
 "CT          " "Northeast   "            1 "New England "            1         5018         30.7        318.8        211.9         29.3         34.1         16.4         10.2          512         4758        27500 10.587161545         40.5          8.2          3.1 1.9470641923          293         25.2         21.8           78        41721         3287 8881.3507758         41.7      -72.752           46          105          -32         4.18            6            6          8.6        42154 "I           " "I           " "R           "            8 "D           "        680.3        575.8        347.6           10           72           30          613          430          474            6        42.05      -71.784       41.015       -73.72           58           64
 "NY          " "Northeast   "            1 "Mid Atlantic"            2        49108         32.1        376.2          216           31         38.7         18.1         14.2         1131         5162        27303 10.188993885         38.9            9          3.3 1.7565314063          307         27.1         23.1          130        32965        17990 6806.7259589        42.75      -75.823           35          108          -52         4.14            7         14.3         15.3        31794 "D           " "D           " "D           "           33 "D           "       3246.8       2241.3         1029            4           74           28          376          416          471            7       45.017      -71.879       40.483      -79.767           48           48
 "NJ          " "Northeast   "            1 "Mid Atlantic"            2         7787         31.5        356.1        223.5         29.3         31.1         19.8         13.5          609         4660        26780 10.297542044         35.7          7.8          3.3 1.5782664942          234         29.2         24.3           85        40927         7730 7887.7102199       40.146        -74.4           42          110          -34          4.6            8          9.2          9.7        40049 "D           " "D           " "R           "           15 "D           "       1366.6       1309.7        505.7           12           75           35          941          419          473            8       41.365      -73.899       38.926      -75.549           53           55
 "PA          " "Northeast   "            1 "Mid Atlantic"            2        45308         37.6        400.6        237.1           36         33.3         21.9         10.3          379         2982        22312 8.8705605117         33.3          7.1          3.2 2.5332435617          227         30.1         25.6          105        29069        11882 6866.6049487       40.994       -77.63           41          111          -42         1.84            9           11           11        30367 "D           " "D           " "R           "           23 "D           "       2224.9       1778.2        896.2            8           76           32          259          418          460            9       42.264      -74.728       39.723      -80.532           49           54
 "OH          " "Midwest     "            2 "E N Central "            3        41330         34.6        344.6        212.1         37.5         29.9         19.7          8.9          469         4265        21986 9.3666451553         31.2            9          4.5 2.1111828155          191         31.1         27.1          100        28706        10847 6446.2985157         40.2       -82.67           37          113          -39         2.09           10         11.5         13.4        29790 "R           " "R           " "R           "           21 "D           "       1965.2       1876.4       1024.6           13           74           31          257          454          505           10        41.97      -80.513        38.43      -84.826           55           60
 "IN          " "Midwest     "            2 "E N Central "            3        36185           39          318        204.3         37.4         28.8           22          8.3          406         4033        20931 9.8665223665         30.5          9.9         .    2.4350649351          151         35.3           30         77.2        28797         5544 6699.6753247       39.786       -86.45           39          116          -35         1.75           11           13         15.7        27089 "D           " "D           " "R           "           12 "R           "        229.2        970.5        448.4           22           75           29          142          409          460           11       41.781      -84.796       37.791      -88.104           53           55
