 STATE$       REGION$      REGION       DIVISION$    DIVISION     LANDAREA     ACCIDENT     CARDIO       CANCER       PULMONAR     PNEU_FLU     DIABETES     LIVER        VIOLRATE     PROPRATE     AVGPAY       TEACHERS     TCHRSAL      MARRIAGE     DIVORCE      HOSPITAL     DOCTOR       MSTROKE      FSTROKE      GOVSLRY      INCOME89     POP90        TOTALSLE     LABLAT       LABLON       RAIN         HIGHTEMP     LOWTEMP      WINE86       NUM          POVRTY90     POVRTY91     INCOME       GOV_92$      GOV_93$      PRES_88$     ELECVOTE     PRES_92$     CLINTON      BUSH         PEROT        TORNADOS     SUMMER       WINTER       POPDEN       VERBAL       MATH         MAPNUM       MAXLAT       MAXLON       MINLAT       MINLON       VOTE_88      VOTE_92     
 "IL          " "Midwest     "            2 "E N Central "            3        56345         37.9        340.8        202.3         30.4         33.1         15.8         10.8          846         4793        24211 9.2642813402         32.8          7.2            4 2.2482722421          210           32           27        97.37        32252        11431 6906.5698539       39.756      -89.503           33          117          -35         3.09           12         13.7         13.5        31884 "R           " "R           " "R           "           22 "D           "       2379.5       1718.2        832.5           18           76           26          196          475          541           12       42.509      -87.503       37.003      -91.504           53           59
 "MI          " "Midwest     "            2 "E N Central "            3        58527         35.1        327.2        193.8         31.4         29.1         16.5         11.7          709         5259        24853 8.4023668639           36          8.4          4.3 2.2162452932          180         32.5         28.3        106.7        31020         9295 6986.8746638        42.75        -85.4           31          112          -51         2.64           13         14.3         14.1        32117 "R           " "R           " "R           "           18 "D           "       1858.3       1587.1        820.9           11           75           27          154          469          528           13        47.48      -82.441       41.713      -90.415           54           61
 "WI          " "Midwest     "            2 "E N Central "            3        56153         34.8        320.7        202.1         32.7         37.1         16.2          8.1          223         3942        20204 9.4848732625         31.9          8.3          3.6 3.0457890433          181         31.8           26       86.149        29442         4892 6878.3728536       44.718      -89.944           30          114          -54         2.58           14          9.3          9.9        31133 "R           " "R           " "D           "           11 "D           "       1035.9        926.2        542.7           13           69           19           80          485          551           14       46.937      -86.957       42.499       -92.93           61           69
 "MN          " "Midwest     "            2 "W N Central "            4        84402         34.7        276.5        188.2         30.1         35.7         12.9          6.8          288         4095        22155 9.8514285714         32.2          7.9          3.6 3.8857142857          212         29.7         24.5      109.053        30909         4375 7361.8285714        45.65        -94.3           25          114          -59          2.3           15           12         12.9        29479 "R           " "R           " "D           "           10 "D           "        998.6        737.6        552.7            8           73           12           48          489          556           15       49.381      -89.475       43.496      -97.228           66           71
 "IA          " "Midwest     "            2 "W N Central "            4        56275         41.4        359.2        218.4         42.5         44.4         16.2          6.8          266         3815        18420 11.127115592         26.7          8.5          3.5 4.9333813468          145           29         23.9         76.9        26229         2777 6410.1548434       41.947      -93.372           33          118          -47            1           16         10.4          9.6        28553 "R           " "R           " "D           "            7 "D           "        583.7        503.1        251.6           22           74           20           50          520          583           16       43.516      -90.136       40.378      -96.608           58           65
 "MO          " "Midwest     "            2 "W N Central "            4        69697         43.6        359.3        212.7         40.5         37.7           16          7.3          633         4495        20899  10.00586281         27.2          9.9          5.1 3.1854602306          190         32.2         26.9       88.541        26362         5117  6658.198163       38.308      -92.424           35          118          -40         2.12           17         13.4         14.8        27926 "R           " "R           " "R           "           11 "D           "         1053        811.1        518.2           15           78           32           67          481          532           17       40.617      -89.082       35.998      -95.767           55           62
 "ND          " "Midwest     "            2 "W N Central "            4        70703         35.8        308.5        192.7         30.4         31.5         17.2          8.7           63         2498        16932  12.20657277           23          7.3          3.4 9.0766823161          167         27.8         23.3         65.2        23213          639 6899.8435055       47.469     -100.295           15          121          -60          1.4           18         13.7         14.5        25892 "D           " "R           " "R           "            3 "R           "         98.9        135.3         70.8           10           72           10            9          518          583           18       49.003       -96.54       45.935     -104.051           62           68
 "SD          " "Midwest     "            2 "W N Central "            4        77116         40.4          364        189.9         33.7         43.2         13.3          7.3          136         2550        15810 11.781609195         21.3          9.9          3.7 9.4827586207          138         27.6         23.9       60.819        22503          696 6272.9885057       44.209     -100.246           15          120          -58          1.4           19         13.3           14        24639 "R           " "R           " "R           "            3 "R           "        124.9        136.7         73.3            5           75           17            9          502          558           19       45.944      -96.429       42.474     -104.064           60           66
 "NE          " "Midwest     "            2 "W N Central "            4        77355         38.5        321.4        197.6         36.4         45.7         15.5          6.4          280         3812        17694 11.533586819         25.5          7.9          3.9 6.7173637516          168         28.9         23.5           65        26016         1578 6337.7693283       41.501      -99.698           28          118          -47         1.71           20         10.3          9.5        29549 "D           " "D           " "R           "            5 "R           "        214.1        339.1          172           19           79           23           19          479          544           20       43.004      -95.334       39.998     -104.063           56           61
 "KS          " "Midwest     "            2 "W N Central "            4        82277         40.2        322.8        199.6         40.4         38.1         16.4          7.1          401         4582        19474 11.581920904         28.7          9.3            5  6.416464891          169         29.4         24.4       74.235        27291         2478 6319.2090395       38.508      -98.321           28          121          -40         1.26           21         10.3         12.3        29295 "D           " "D           " "R           "            6 "R           "        386.8        444.6        310.5           21           81           32           27          494          548           21        40.02      -94.585       36.996     -102.057           54           61
 "DE          " "South       "            3 "S Atlantic  "            5         2044         43.8        309.8        217.7         30.2         22.9         22.3          9.7          556         4309        23268  9.009009009         33.4          8.8          4.4 2.1021021021          191         25.5           24           80        34875          666 8387.3873874       39.151      -75.428           45          110          -17         3.18           22          6.9          7.5        32585 "R           " "D           " "R           "            3 "D           "          126        102.4         59.1           18           76           34          273          429          465           22       39.847      -75.053       38.454      -75.802           50           55
 "MD          " "South       "            3 "S Atlantic  "            5        10460         33.3        276.2          201         30.4         27.9         16.7          9.8          855         4707        23466 8.5128634177         36.6         10.1          3.3  1.756954612          325         29.9         27.2          120        39386         4781 7330.0564735         39.4          -77           43          109          -40         3.13           23          9.9          9.1        36952 "D           " "D           " "R           "           10 "D           "          942        671.6        271.2           10           77           35          392          431          478           23       39.733      -75.055       37.916      -79.496           49           51
 "VA          " "South       "            3 "S Atlantic  "            5        40767         37.1        268.6        184.5         27.3           29         12.5            9          313         3899        21879 10.117989332         30.9         11.3          4.2 2.1981574269          204         35.8         30.1          108        33328         6187 7247.4543397         37.8        -79.2           45          110          -29         2.42           24         11.1          9.9        36137 "D           " "D           " "R           "           13 "R           "       1034.8       1147.2        344.9            6           79           41          114          425          469           24       39.458      -75.215       36.538      -83.643           48           53
 "WV          " "South       "            3 "S Atlantic  "            5        24231         47.7        397.1        231.7         48.1         36.7         20.8          8.8          147         2216        19789 12.102621305         22.8          7.2          5.1 3.6809815951          164         32.5         27.9           72        20795         1793 5691.0206358         38.5          -81           39          112          -37         1.03           25         18.1         17.9        23147 "D           " "D           " "D           "            5 "D           "          327        239.1        106.4            3           76           35           71          439          485           25       40.648      -77.716       37.201      -82.619           47           50
 "NC          " "South       "            3 "S Atlantic  "            5        52669         49.5        299.4        195.8         32.3         29.7         20.4         10.8          546         4707        19320 9.4886106502         27.8          7.7          4.9 2.3834665862          179         41.9           34        123.3        26647         6629 6646.4021723         35.9        -79.7           43          109          -29         2.05           26           13         14.5        26853 "R           " "D           " "R           "           14 "R           "       1103.7       1122.6        353.8           10           79           42          101          406          453           26       36.596      -75.538       33.862      -84.325           45           49
 "SC          " "South       "            3 "S Atlantic  "            5        31113         55.9        293.9        177.1         27.4         21.5         15.9          9.4          814         4806        18797 10.209349011         27.2         15.5          4.2  2.609693146          156         50.8           42           98        26256         3487 6226.8425581         34.1        -81.7           49          111          -20         2.02           27         16.2         16.4        27463 "R           " "R           " "R           "            8 "R           "        476.6        573.2        138.1            0           81           50           83          396          442           27       35.209      -78.558       32.043      -83.368           39           45
 "GA          " "South       "            3 "S Atlantic  "            5        58910         49.6        266.7        171.2           29         26.1         14.4          9.2          736         6337        21071 10.265514048         27.9          9.8          4.7  3.164556962          167         43.7         35.5       91.092        29021         6478 6786.1994443       32.676      -83.225           47          113          -17         2.03           28         15.8         17.2        27212 "D           " "D           " "R           "           13 "D           "       1005.9        989.8        307.9           13           79           45           77          399          445           28       34.995      -80.842       30.356      -85.609           39           46
 "FL          " "South       "            3 "S Atlantic  "            5        58664         43.7        380.4          253         43.1         27.3         17.3         13.6         1109         7695        20072 8.0460658525         28.8         10.9          6.3 2.2646467769          203         28.1         23.7      103.909        27483        12938 7543.6698099         28.6        -81.4           49          109           -2         3.35           29         14.4         15.4        27252 "D           " "D           " "R           "           25 "R           "       2052.8       2137.8       1041.7           30           82           66          123          416          466           29        31.01      -80.044       25.133       -87.64           45           50
 "KY          " "South       "            3 "E S Central "            6        40409         46.1          338        215.3         41.1         35.9         22.7          8.7          357         2960        19001 9.7150610583         26.3         13.5          5.5 3.3378561737          161         36.3         30.9        69.73        22534         3685 6096.6078697         37.4        -85.5           41          114          -34         1.07           30         17.3         18.8        23764 "D           " "D           " "R           "            8 "D           "        664.2        616.5        203.7            8           78           36           79          476          552           30       39.134      -81.966       36.499      -89.403           48           54
 "TN          " "South       "            3 "E S Central "            6        42144         49.4        327.7        201.1         35.6         33.2         15.1          8.4          549         3965        19712 8.9399220832         27.1         13.2          6.5 3.2396965348          187         41.5         32.3           85        24807         4877 6337.7076071       35.825      -85.967           45          113          -32         1.27           31         16.9         15.5        24453 "D           " "D           " "R           "           11 "D           "        983.6        840.9        199.8           23           81           40           93          486          531           31       36.672      -81.647       34.978      -90.287           45           52
 "AL          " "South       "            3 "E S Central "            6        51705         54.5        323.5        206.2         35.1         28.8         19.3          9.8          591         4037        19593 9.8243009156         25.5         10.2          6.1 3.4644889879          151         40.7         32.6       87.913        23597         4041 6217.0254887       32.626      -86.687           59          112          -27         1.58           32         19.2         18.8        24346 "R           " "R           " "R           "            9 "R           "        686.6        798.4        180.5           16           82           51           66          480          526           32       35.012      -84.901        30.24      -88.473           46           55
 "MS          " "South       "            3 "E S Central "            6        47689         54.8        352.7        201.4         30.7         27.1           19          8.1          311         3204        17047 10.687912942         24.4          9.3          4.9 4.6249514186          125         45.2         35.3         75.6        20136         2573  5218.033424       32.592      -89.869           50          115          -40          0.9           33         25.7         23.7        19475 "R           " "D           " "R           "            7 "R           "        392.9        481.6         84.5           19           82           49           46          481          521           33       34.998      -88.108       30.185      -91.631           51           52
 "AR          " "South       "            3 "W S Central "            7        53187         51.7        359.4        225.8         36.2         41.7         17.5            7          474         4082        17418  10.84644832           22         14.4          6.8 4.1684389621          144         40.6         32.3           35        21147         2351 6125.4785198       34.756      -92.136           49          120          -29            1           34         19.6         17.3        23435 "D           " "D           " "R           "            6 "D           "        498.5        333.9         98.2           15           82           41           36          478          519           34        36.51       -89.65       33.003      -94.623           48           53
 "LA          " "South       "            3 "W S Central "            7        47751         44.5          303        190.8         25.9         23.2         19.6          7.4          782         5459        19750 10.426540284         24.3          8.9         .    4.0758293839          184         39.4         32.5        73.44        21949         4220 6284.8341232         30.5        -92.2           60          114          -16         2.47           35         23.6           19        25299 "D           " "D           " "R           "            9 "D           "        815.3        729.9        210.6           20           82           55           79          481          527           35       33.037      -89.029        28.98      -94.056           52           49
 "OK          " "South       "            3 "W S Central "            7        69956         44.2        339.6        197.3         37.2           36         16.6          8.9          492         5011        19530 11.315956771         23.1         10.3          7.1 4.4500953592          145         33.9           31           70        23577         3146 6310.2352193         35.7        -97.7           31          120          -27         1.33           36         15.6           17        25462 "D           " "D           " "R           "            8 "R           "          473        592.9          320           29           83           37           36          482          530           36       37.017      -94.443       33.662     -103.008           49           59
 "TX          " "South       "            3 "W S Central "            7       266807         38.8        242.5        153.8         24.3         23.7         12.2          8.4          659         7268        21740 11.914993819         27.5         10.3          5.5 3.1906752222          169         31.7         27.7       93.342        27016        16987  6674.280332       31.215        -99.4           35          120          -23         2.35           37         15.9         17.5        27733 "D           " "D           " "R           "           32 "R           "       2279.3       2460.3         1350           19           83           53           42          413          472           37       36.494      -93.536       25.936     -106.648           46           48
 "MT          " "West        "            4 "Mountain    "            8       147046         46.7        257.3        191.7         47.6         30.9           19         10.8          116         3882        17224 12.015018773         25.1          8.3          5.1 8.0100125156          150         25.5         23.8       53.006        22988          799 6137.6720901       46.686     -110.044           11          117          -70         2.69           38         16.3         15.4        24827 "R           " "R           " "R           "            3 "D           "        153.9        143.7        106.9            1           68           19            5          459          516           38       49.004     -104.045       44.368     -116.044           58           60
 "ID          " "West        "            4 "Mountain    "            8        83564         54.6        237.1        158.8         40.2         34.2         16.3          6.5          255         3676        18146 11.022840119         23.9         12.9            6  4.865938431          120         30.8         27.5           75        25257         1007 5475.6703078         43.9         -115           11          118          -60         2.71           39         14.9         13.9        26116 "D           " "D           " "R           "            4 "R           "        136.2        201.8        129.9            1           75           29            8          465          507           39       48.993     -111.053       41.996     -117.231           58           66
 "WY          " "West        "            4 "Mountain    "            8        97809         53.2        191.9        145.7         41.1         31.1         14.6          8.6          258         3631        19230 14.317180617         28.2          9.7          6.4 7.0484581498          134         30.1         26.3           70        27096          454 6193.8325991       42.999     -107.555           15          114          -63         1.88           40           11          9.9        29050 "D           " "D           " "R           "            3 "R           "         67.9         79.6         51.2            4           70           26            3          463          507           40       45.008     -104.049       40.991     -111.061           53           61
 "CO          " "West        "            4 "Mountain    "            8       104091         34.4        196.2        134.9         39.3         29.8         11.2          8.3          471         5568        21940 9.7146326655         30.8          9.6          5.6 2.9143897996          202         23.6         23.3           70        30140         3294  6959.623558           39     -105.554           15          118          -60         3.77           41         13.7         10.4        31499 "D           " "D           " "R           "            8 "D           "        626.2        557.7        362.8            9           73           29           21          454          509           41       41.016     -102.046       36.984     -109.062           56           63
 "NM          " "West        "            4 "Mountain    "            8       121593         56.7        189.8        144.7         31.3         24.3         17.1         12.8          704         5870        18667 10.759075908         25.1          8.3            5 4.0264026403          173         22.8           23           90        24087         1515  5904.290429       34.173     -106.031           10          116          -50         2.72           42         20.9         22.4        26540 "D           " "D           " "R           "            5 "D           "        259.2        212.4         91.5            3           79           36            8          478          525           42       36.999     -103.003       31.346      -109.06           49           51
 "AZ          " "West        "            4 "Mountain    "            8       114000         48.6        251.5          180         41.9         28.6         15.6         12.9          600         7460        20808 9.1678035471         29.4         10.1          6.5 2.5375170532          191           24           21           75        27540         3665 6560.9822647       34.175     -111.928            7          127          -40         3.74           43         13.7         14.8        30737 "R           " "R           " "R           "            8 "R           "          525        548.1        341.1            1           90           50           15          444          497           43       37.004     -109.041       31.347     -114.814           46           52
 "UT          " "West        "            4 "Mountain    "            8        84899           35        175.3        101.1         22.1         24.3         13.1          4.8          259         5423        19362 10.621009867         23.7         10.9          4.7 3.0179918746          177         26.6           27           70        29470         1723 5421.3580963         39.5     -111.544           14          116          -50         1.19           44          8.2         12.9        28016 "R           " "D           " "R           "            5 "R           "        182.8         85.5         61.5            1           77           28           13          500          549           44       42.006     -109.041       36.995     -114.046           58           68
 "NV          " "West        "            4 "Mountain    "            8       110561         42.7        258.3        193.3         52.8           25         11.7         17.1          625         5646        21342 7.6539101498         30.6        106.3         11.9 2.7454242928          158         27.3         26.4           90        31011         1202 6680.5324459         39.5     -117.024            8          122          -50         6.85           45          9.8         11.4        32937 "D           " "D           " "R           "            4 "D           "        185.4        171.4        129.5            0           71           28            4          432          488           45       42.014     -114.036       35.019     -120.012           44           48
 "WA          " "West        "            4 "Pacific     "            9        68138         37.5        252.7        179.3         39.7         28.3         14.1          9.8          472         6122        21617 8.2802547771         30.5          9.2          5.7 2.3423053216          206         29.1         27.1         96.7        31183         4867 6758.1672488       47.272     -120.802           33          118          -48         4.76           46          8.9          9.5        33970 "D           " "D           " "D           "           11 "D           "        855.7        609.9        470.2            1           68           29           50          435          486           46       49.008     -116.921       45.536     -124.683           54           59
 "OR          " "West        "            4 "Pacific     "            9        97073         45.4        281.1        210.6         43.2         33.4           16         10.4          519         5643        20303 9.0077410274         30.8          8.3          5.4 2.7445460943          196         31.4           28           80        27250         2842 7116.8191414       44.118     -120.498           40          119          -54         4.42           47          9.2         13.5        30190 "D           " "D           " "D           "            7 "D           "        525.1        394.4        307.9            0           68           39           21          441          492           47        46.23     -116.465       42.006     -124.532           57           62
 "CA          " "West        "            4 "Pacific     "            9       158706         37.4        249.5        168.5         34.2           33           12         14.7          978         5786        24921 6.9657258065         36.4          8.1          4.3 1.8918010753          242         32.1         29.1          120        35798        29760 7167.9099462       37.283       -120.5           16          134          -45         6.18           48         13.9         15.7        33664 "R           " "R           " "R           "           54 "D           "         4815       3341.7       2147.4            1           68           52          126          415          484           48       42.023     -114.131       32.543     -124.382           47           48
 "AK          " "          "         .    "          "         .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .    "          " "          " "          "         .    "          "         .            .            .            .            .            .            .             438          477         .            .            .            .            .            .            .   
 "HI          " "          "         .    "          "         .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .            .    "          " "          " "          "         .    "          "         .            .            .            .            .            .            .             401          478         .            .            .            .            .            .            .   
