predict,Days,start station name,bikes,Month,DayOfWeek,residual
1.1832530479098526,15887,8 Ave & W 33 St,1,6,Sun,-0.18325304790985264
1.07696862081673,15887,South St & Gouverneur Ln,1,6,Sun,-0.07696862081672995
1.2135913076501625,15887,W 41 St & 8 Ave,1,6,Sun,-0.21359130765016254
1.3018876771082517,15887,W 43 St & 6 Ave,1,6,Sun,-0.3018876771082517
1.3092337122467073,15888,Broadway & E 22 St,1,7,Mon,-0.30923371224670726
1.1034088049859883,15888,E 19 St & 3 Ave,1,7,Mon,-0.10340880498598826
1.210637644848383,15888,MacDougal St & Prince St,1,7,Mon,-0.2106376448483831
1.104690987638948,15888,W 25 St & 6 Ave,1,7,Mon,-0.10469098763894791
1.1045444103134558,15888,W 49 St & 5 Ave,1,7,Mon,-0.10454441031345585
1.0702906260134395,15889,Joralemon St & Adams St,1,7,Tue,-0.0702906260134395
1.1804600402752643,15889,W 51 St & 6 Ave,1,7,Tue,-0.1804600402752643
1.0457293075308667,15890,Metropolitan Ave & Bedford Ave,1,7,Wed,-0.04572930753086668
1.142917188718939,15890,W 22 St & 8 Ave,1,7,Wed,-0.1429171887189391
1.2827408299558662,15890,West St & Chambers St,1,7,Wed,-0.28274082995586625
1.2753585756369832,15891,E 17 St & Broadway,2,7,Thu,0.7246414243630168
1.1526965227635886,15891,Forsyth St & Broome St,2,7,Thu,0.8473034772364114
1.2393659696245296,15891,W 13 St & 6 Ave,1,7,Thu,-0.2393659696245296
1.0664929884134637,15891,W 37 St & 10 Ave,1,7,Thu,-0.06649298841346374
1.2862407602289327,15891,West St & Chambers St,1,7,Thu,-0.28624076022893274
1.1163803026776158,15892,6 Ave & Canal St,1,7,Fri,-0.11638030267761579
1.0748912110206184,15892,E 20 St & 2 Ave,1,7,Fri,-0.07489121102061835
1.221032567433216,15892,Lafayette St & Jersey St,1,7,Fri,-0.2210325674332161
1.229158581693007,15892,South St & Whitehall St,1,7,Fri,-0.22915858169300707
1.0689450650828876,15892,W 46 St & 11 Ave,1,7,Fri,-0.06894506508288756
1.2673811395229204,15893,Broadway & E 22 St,1,7,Sat,-0.2673811395229204
1.1768962717893874,15893,W 16 St & The High Line,1,7,Sat,-0.17689627178938738
0.9786058494065725,15893,Wythe Ave & Metropolitan Ave,1,7,Sat,0.02139415059342753
1.1459363188899696,15894,2 Ave & E 31 St,1,7,Sun,-0.1459363188899696
1.000857997427464,15894,Carlton Ave & Park Ave,1,7,Sun,-0.0008579974274640634
1.1570702966264583,15894,Carmine St & 6 Ave,1,7,Sun,-0.15707029662645833
1.1227068898032015,15894,E 2 St & 2 Ave,1,7,Sun,-0.12270688980320155
1.0032748552045312,15894,Hicks St & Montague St,1,7,Sun,-0.0032748552045311907
1.118389994065809,15895,11 Ave & W 41 St,1,7,Mon,-0.11838999406580908
1.1197434865379599,15895,8 Ave & W 52 St,1,7,Mon,-0.11974348653795985
1.0925849203407665,15895,Broadway & W 49 St,1,7,Mon,-0.09258492034076649
1.0829712214206977,15895,E 20 St & Park Ave,2,7,Mon,0.9170287785793023
1.1874054037192674,15895,John St & William St,1,7,Mon,-0.1874054037192674
1.103924287593699,15895,W 45 St & 6 Ave,1,7,Mon,-0.10392428759369898
1.0236168447331817,15896,Atlantic Ave & Fort Greene Pl,1,7,Tue,-0.023616844733181708
1.1982817696546664,15896,E 32 St & Park Ave,1,7,Tue,-0.19828176965466637
1.2601756497632148,15896,Greenwich St & Warren St,1,7,Tue,-0.26017564976321483
1.1296200190299492,15896,Howard St & Centre St,1,7,Tue,-0.12962001902994924
1.1096243933583239,15896,W 53 St & 10 Ave,1,7,Tue,-0.10962439335832386
1.1229437518482814,15897,2 Ave & E 58 St,1,7,Wed,-0.12294375184828144
1.0965333105867643,15897,Allen St & Hester St,1,7,Wed,-0.09653331058676429
1.0117338368553461,15897,Atlantic Ave & Fort Greene Pl,1,7,Wed,-0.011733836855346125
1.0974040759346533,15897,Broadway & W 29 St,1,7,Wed,-0.09740407593465328
1.2583870207088732,15897,Broadway & W 36 St,1,7,Wed,-0.2583870207088732
1.0769984168772362,15897,Centre St & Chambers St,1,7,Wed,-0.07699841687723619
1.0940943810321782,15897,E 39 St & 3 Ave,1,7,Wed,-0.09409438103217815
1.214538509212864,15897,W 16 St & The High Line,1,7,Wed,-0.214538509212864
1.365381646724962,15898,8 Ave & W 31 St,1,7,Thu,-0.365381646724962
1.0942898606893994,15898,Broadway & W 49 St,1,7,Thu,-0.09428986068939937
1.060371237887455,15898,Broadway & W 55 St,1,7,Thu,-0.06037123788745502
1.1156339850404344,15898,E 31 St & 3 Ave,1,7,Thu,-0.11563398504043443
1.2361012664344648,15898,Grand Army Plaza & Central Park S,1,7,Thu,-0.23610126643446483
1.1850255798172766,15898,Little West St & 1 Pl,1,7,Thu,-0.18502557981727663
1.0949074447136913,15898,Mott St & Prince St,1,7,Thu,-0.09490744471369128
1.089479269860836,15899,5 Ave & E 29 St,1,7,Fri,-0.08947926986083599
